"Accession identifer","Simple name",Material,Provenance,Period,"Donated by","Dimensions (mm)","Paper data available (NEWMA objects)","MMH pic?","Extra info"
"NEWMA : 1932.85","Socketed axe (fitted to replica haft)",Bronze,Hexham,"Bronze age","Mr. J. Kirsopp, Hexham","70 x 45 x 35","PSAN refs x 2 / label",,
"NEWMA : 1929.8","Socketed axe ",Bronze,"Unthank Hall",,"Mr. Dixon Brown","90 x 45 x 38","PSAN ref / Label",,
"NEWMA : 1929.9","Socketed axe ",Bronze,"Unthank Hall",,"Mr. Dixon Brown","80 x 42 x 33","PSAN ref / Label",,
"NEWMA : 1929.1","Socketed axe ",Bronze,"Unthank Hall",,"Mr. Dixon Brown","96 x 54 x 27","PSAN ref / Label",,
"NEWMA : 1934.27","Socketed axe",Bronze,"Swarland Mill",,"Mr. A. R. Robson, Swarland","89 x 47 x 38","PSAN ref",,"Found in Swarland burn near Swarland Mill."
"NEWHM : 2006.18.1722","Socketed axes x 6",,Berwick,"Late bronze age","Mr. J. Minns",,,,"Found 2005  using metal detector"
"NEWMA : 1932.5","Socketed Axehead",,"(?) locality of Ewart Park",,"Mr. G. G. Butler, Ewart Park","57 x 41 x 28.5","PSAN ref",,
"NEWMA : 1946.1","Socketed axe",Bronze,"Martfield, Belford",,"Belford Auction Mart Ltd, per Mr. J. Davidson","85 x 48 x 40",Label,,"Decoration suggests import from Ireland or made by travelling Irish founder.  Found 1944."
"NEWMA : 1947.4.1","Socketed axe",Bronze,"Haydon Bridge",,"J.D. Cowen, from Miss. Walker, Hexham","146 x 44.5 x 27",Label,,"Discovered 1835/6, found when constructing the Newcastle-Carlisle railway.  NGR: railway line goes from NY 82926409- NY 84946438"
"NEWMA : 1958.3","Socketed axe",Bronze,"Alston, Cumbria",,"Mrs. R. J. Allen, Newcastle","102 x 60 x 38",,,"Incomplete. Associated with 1958.2"
"NEWMA : 1852.7","Socketed Axehead",Bronze,"Hesleyside, near Bellingham, Northumberland","Late bronze age","Dr. E. Charlton","83 x 54 x 38","AA ref / label",,
"NEWMA : 1852.9","Socketed Axehead",Bronze,"Britanny/Paris ?",,"Rev. W. Featherstonhaugh",,"AA ref / MMH drawing",,
"NEWMA : 1929.68","Socketed Axehead",Bronze,"(?) Forcett near, Darlington. 7 miles w.s.w, Stanwick, Yorks",,"T. J. Bell","117 x 51 x 44.5","PSAN refs x 3 / label",,"Purchased in Darlington, probably from a hoard at Fawcett."
"NEWMA : 1944.1","Socketed axe",Bronze,"Broomwood Camp, Edlingham",,"Miss. Bolam, Alston","76 x 49 x 27.5",Label,,"Discovered in 1885.  Been cleaned.  Found in turf and stone wall around campsite."
"NEWMA : 1899.12","Socketed axe head",Bronze,"River Tyne at Newburn",,"Mr. G. Forster, Lemington","93 x 60 x 40",Label,,"NGR: NZ 168649.  Found in River Tyne."
"NEWMA : 1932.49","Socketed axehead",,"Ewart Park",,"G. G. Butler, Ewart Park","73 x 51 x 36","PSAN ref",,
"NEWMA : 1852.101","Socketed axes x 3",,Ireland,,"Duke of Northumberland",,"Curatorial notes",,
"NEWMA : 1967.5.A","Socketed axeheads x 3",Bronze,Northumberland,"Late bronze age","Mr. A. Ridley, Hexham",,"Letter from donor",,
"NEWMA : 1835.5","Socketed axehead",,Unknown,"Bronze age","Mr. Robert Wilson","89 x 51 x 38","Burgess 1968 article (MMH drawings)",,"Rec. of donation in society's Council Book 6 May 1835"
"NEWMA : 1852.101 (N61)","Socketed axe",,Ireland,,"Duke of Northumberland",,"Curatorial notes",,
"NEWMA : 1967.12","Wallington hoard axeheads x 7",,Wallington,"Late bronze age","Executors of the estate of the late Mary, Lady Trevelyan, Wallington (loaned by)",,"Condition report (C Daniels, 1965) / Orig. news cutting / correspondence / metal analysis report 1966 / packets with drill samples?",,
"TWCMS : H6502","Bronze socketed axehead",,,,,,,,
"TWCMS : H6445","Bronze socketed axehead",,,,,,,,
"TWCMS : H6446","Bronze socketed axehead",,,,,,,,
"NEWMA : 1956.69.A","Axehead rough out",Stone,Langdale,Neolithic,"No accession card info",,,,
"NEWMA : 1972.25","Polished stone pick",Stone,Unknown,,"Mrs. W. Percy Hedley","157 x 40-25","Copy of donation bequest & reply from Hancock Museum",,
"Dirks and Rapiers",,,,,,,,,
"NEWMA : 1950.5",Dirk,Bronze,"Mickley, Blyth",,"Pupils of Bebside CM school, Blyth","213 x 14 x 3",Label,,"Found in load of gravel from Mickley district delivered to school.  Accession card says ""or stilleto"""
"NEWMA : 1901.1",Dirk,Bronze,"River Blyth",,"Dr. Trotter, Blyth","308 x 49 x 5",,,"Discovered c.1890 in River Blyth near Monkey's Island.  Accession card classes this as a rapier."
"NEWMA : 1999.1",Rapier,Bronze,Amble,"Bronze age","The Crown Estates & Mr. Rodney Burge",,,," found during exceptionally low tides between high and low water mark on Amble beach."
"NEWMA : 1967.12","Wallington hoard rapier blades x 3",,Wallington,"Late bronze age","Executors of the estate of the late Mary, Lady Trevelyan, Wallington (loaned by)",,"Condition report (C Daniels, 1965) / Orig. news cutting / correspondence / metal analysis report 1966 / packets with drill samples?",,"Found in stream in Middleton Moss, Prior Hill Farm, 14/5/1879"
Arrowheads,,,,,,,,,
"NEWMA : 1989.22",Arrowhead,"Stone: flint","Corby Crags","Early bronze age","Miss. Meg Shaw, Jesmond",,"Identification form / donation correspondence / article by C. Smith",,"Found whilst climbing."
"NEWMA : 1984.2","Barbed and tanged Arrowheads","Stone: flint",Allendale,"Mesolithic or Bronze age?","K.A. Bennett, Low Fell",,,," Found fieldwalking near the Chimneys.  NGR: NY 814 539"
"NEWMA : 1974.7","Barbed and tanged Arrowheads","Stone: flint",Westerhope,,"Mr. M.J. Taylor, Chapel Park",,"Miket ref / Id. Form / donor letter",,"Found in donor's garden"
"NEWMA : 1979.58","Barbed and tanged Arrowheads","Stone: flint",Edlingham,,"T. Heyes",,,,
"NEWMA : 1927.139.5","Arrowhead ","Stone: flint",Luckermoorhouse,"Mesolithic-Bronze age","Mr. F. Buckley, Yorkshire","38 x 19 x 6.5","PSAN refs x 2",,
"NEWMA : 1927.139.6","Arrowhead ","Stone: flint",Luckermoorhouse,"Mesolithic-Bronze age","Mr. F. Buckley, Yorkshire","30 x 30 x 6.5","PSAN refs x 2",,
"NEWMA : 1956.323.A",Arrowhead,"Stone: flint","Kielder Burn",,"Dr. E. Charlton","38 x 19 x 9.5",Label,,"Discovered 1852?"
"NEWMA : 1956.104.A","Barbed and tanged Arrowhead",,Denmark,,"No accession card info",,,,
"NEWHM : ARPH 0041",Arrowhead,"Stone: flint",Denmark,,,,,,"Collected by J. Taylor."
"NEWHM : ARPH 0009",Arrowhead,"Stone: flint","West Stow, Suffolk",,,"32 x 23",,,
"NEWMA : 1927.139.3",Arrowhead,"Stone: flint","Ross Links",Neolithic,"Mr. F. Buckley, Yorkshire",,Label,,
"NEWMA : 1958.8",Arrowhead,"Stone: flint","Emma Quarry",Neolithic,"Rev. L.T. Johnson","28.5 x 28.5",,,"found 1954, NZ 14456380. Surface find in ploughed field."
"NEWMA : 1958.9",Arrowhead,"Stone: flint","Emma Quarry",Neolithic,"Rev. L.T. Johnson","28.5 x 28.5",,,"found 1954, NZ 14456380. Surface find in ploughed field."
"NEWMA : 1978.3",Arrowhead,"Stone: flint","Dewley Farm","Late neolithic","Mrs. D. Cutts, Newcastle, per Dr. Joan Weyman",L:37,"Letter to donor",,"discovered c.1974 during ploughing.  NGR: NZ 1605 6827"
"NEWMA : 1963.1",Arrowhead,"Stone: flint","Whitby area, Yorkshire",,"G. H. Sadler, High Heaton",,"Donor letter",,
"NEWMA : 1922.5.1",Arrowhead,"Stone: flint","Craster, The Heughs",Neolithic,"F. Buckley, Yorkshire","19 x 16","PSAN article",,"Surface find"
"NEWMA : 1922.5.2",Arrowhead,"Stone: flint","Craster, The Heughs",Neolithic,"F. Buckley, Yorkshire","22 x 13","PSAN article",,"Surface find"
"NEWMA : 1960.5",Arrowhead,"Stone: flint",Newcastle-upon-Tyne,,,,"Old notes",,"NGR: NZ 2564.  Of North American Indian origin."
"NEWMA : 1973.2","Flatbased triangular Arrowhead","Stone: flint",Kirkhill,"Early bronze age","Mr. B. Howey, per R. Miket","L: 28, max w: 18",,,"Refs may be about urn that arrowhead was found with."
"NEWMA : 1962.4","Arrowheads ",Stone,"Iquique, Chile",,"Mr. H.G. Bradshaw, Newcastle",,,,
"NEWMA : 1985.11","Arrowheads x 2",Glass,Australia,,"Capt. W.L. Garner, Wideopen",,,,"Discovered in 1931, made from beer bottles"
"NEWMA : 1988.1","Arrowheads x 13 ","Stone: quartz",Libya,Prehistoric,"S.A. Stewart, Gosforth",,"Identification loans form",,"Discovered 1987 during seismic survey 250km south of Ubari.  Possible jadite?"
"NEWMA : 1977.9.1",Arrowhead,"Stone: flint",Ireland,"Neolithic/Bronze age","Mr. C.C. Spence, Alnmouth (per Miss. R.B. Harbottle)",,"Handwritten notes",,
"NEWMA : 1925.1.108",Arrowheads,,"Unknown, possibly Scythian",,"Miss. Mary Stephens",,,,
"NEWMA : 1960.3",Arrowheads,"Stone: flint",Unknown,"Bronze age","Mr. C.M. Daniels, Dept. of Classics, Newcastle University",,,,
"NEWMA : 1985.14",Arrowhead,Steel,Unknown,Medieval,"Society of Antiquaries (lent by)",,,,"With original wooden shaft."
"NEWHM : ARPAL 120",Arrowhead,"Copper alloy",Tell-el-Ajjul,"18th Dynasty","British School of Archaeology (purchased via subscription, 1931)","110 x 20 (max)",,,"Collected by Flinders Petrie."
"NEWHM : HANM.6.321",Arrowhead,"Stone: flint",Egypt,,,,,,
"NEWHM : ARPAL 054.01",Arrowhead,"Copper alloy/bronze",Tell-el-Ajjul,"18th Dynasty","British School of Archaeology (purchased via subscription, 1931)","91 x 16 (max)",,,"Excavated by Flinders Petrie."
"NEWHM : ARPAL 054.02",Arrowhead,"Copper alloy/bronze",Tell-el-Ajjul,"18th Dynasty","British School of Archaeology (purchased via subscription, 1931)","122 x 12 (max)",,,"Excavated by Flinders Petrie."
"NEWHM : ARPAL 054.03",Arrowhead,"Copper alloy/bronze",Tell-el-Ajjul,"18th Dynasty","British School of Archaeology (purchased via subscription, 1931)","124 x 15 (max)",,,"Excavated by Flinders Petrie."
"NEWHM : ARPAL 054.04",Arrowhead,"Copper alloy/bronze",Tell-el-Ajjul,"18th Dynasty","British School of Archaeology (purchased via subscription, 1931)","117 x 10 (max)",,,"Excavated by Flinders Petrie."
"NEWHM : ARPAL 039.01",Arrowhead,"Copper alloy",Tell-el-Ajjul,"Late Hyksos","British School of Archaeology (purchased via subscription, 1931)","97 x 13 (max)",,,"Excavated by Flinders Petrie."
"NEWHM : ARAM 101",Arrowheads,"Stone: flint",Patagonia,Fuegian,"F.H.H. Adamson",,,,
"NEWHM : AREGYPT 384.01","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","20 x 12",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.02","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","20 x 10",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.03","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","35 x 30",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.04","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","26 x 15",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.05","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","33 x 10",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.06","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","22 x 7",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.07","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","22 x 8",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.08","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","27 x 10",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.09","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","38 x 12",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.10","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","37 x 10",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.11","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","23 x 10",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 384.12","Arrowheads x 12","Stone: flint",Fayoum,Neolithic,"British School of Archaeology (purchased via subscription, 1931)","43 x 17",,,"Excavated by Caton Thompson 1926"
"NEWHM : AREGYPT 368","Arrowheads x 4",,Fayoum,Neolithic?,"H.W. Seton-Karr",,,," Excavated by Seton Carr 1903"
"NEWHM : AREGYPT 134.01","Arrowheads x 4","Stone: flint","Fayum depression",Neolithic,"Mrs. G.M.B. Shaw, 1947.","Length: 58",,,"Found north of Moreis Bay 1937.  Found near neolithic skull.  Collected by Dr. AJB Shaw."
"NEWHM : AREGYPT 134.02","Arrowheads x 4","Stone: flint","Fayum depression",Neolithic,"Mrs. G.M.B. Shaw, 1947.","Length: 43 Width: 22",,,"Found north of Moreis Bay 1937.  Found near neolithic skull.  Collected by Dr. AJB Shaw."
"NEWHM : AREGYPT 134.03","Arrowheads x 4","Stone: flint","Fayum depression",Neolithic,"Mrs. G.M.B. Shaw, 1947.","Length: 55 Width: 25",,,"Found north of Moreis Bay 1937.  Found near neolithic skull.  Collected by Dr. AJB Shaw."
"NEWHM : AREGYPT 134.04","Arrowheads x 4","Stone: flint","Fayum depression",Neolithic,"Mrs. G.M.B. Shaw, 1947.","Length: 30 Width: 26",,,"Found north of Moreis Bay 1937.  Found near neolithic skull.  Collected by Dr. AJB Shaw."
"NEWHM : AREGYPT 031","Arrowheads x 4",Bone,Fayum,Predynastic/Neolithic,,"Lengths: 70, 85, 70, 64",,,"Excavated by Caton-Thompson."
Spearheads,,,,,,,,,
"NEWMA : 1923.3",Spearhead,"Stone: flint",Amble,Chalcolithic?,"Mr. Edward Hunter, Gosforth","95 x 28.5 x 13","PSAN ref",,"Regarded as a knife by NCH.  Associated with an Amble burial but it is not known which one. "
"NEWMA : 1939.13",Spearhead,"Stone: flint",Alnwick,Neolithic,"A. R. Robson, Swarland ","44.5 x 25.5 x 6","Label / PSAN donations copy",,
"NEWMA : 1977.9.2",Spearhead,"Stone: flint",Ireland,"Neolithic/Bronze age","Mr. C.C. Spence, Alnmouth (per Miss. R.B. Harbottle)",,"Handwritten notes",,
"NEWMA : 1972.NEWMA : 19","Spearhead- barbed and tanged","Stone: flint",Antrim,Neolithic,"Mrs. W. Percy Hedley","L: 117.5, W: 70","Copy of donation bequest & reply from Hancock Museum",,
"NEWHM : ARPH 0037","Spearheads x 2","Stone: flint",Denmark,,,,,,"Collected by J. Taylor."
"NEWHM : ARPH 0033",Spearhead,"Stone: flint",Denmark,,,,,,"Collected by J. Taylor."
"NEWHM : ARPH 0031",Spearhead,"Stone: flint",Denmark,,,,,,"Collected by J. Taylor."
"NEWHM : ARPH 0032",Spearhead,"Stone: flint",Denmark,,,,,,"Collected by J. Taylor."
"NEWHM : 1967.1","Side-looped spearhead",Bronze,Ponteland,"Middle bronze age","Mr. W.A. Cocks, Ryton",,"AA ref / label",,"Discovered by Mr. W.N. Gilhespy on Low Farm, Milbourne c.1944"
"TWCMS : H6437",Spearhead,"Stone: flint","Denmark, Jutland",,"W. R. Heatley","117 x 31 x 5",,,
"TWCMS : H6435",Spearhead,"Stone: flint","Denmark, Jutland",,"W. R. Heatley","142 x 41 x 3",,,
"TWCMS : H6436",Spearhead,"Stone: flint","Denmark, Jutland",,"W. R. Heatley","119 x  35 x 4",,,
"NEWMA : 1884.7","Side-looped spearhead",Bronze,"River Tyne, Blaydon",,"Mr. John Gibson (purchased by)","194 x 51 x 22","PSAN ref",,"NGR: NZ 184636.  Found in the River Tyne."
"NEWMA : 1892.5","Side-looped spearhead",Bronze,"High Bradley Farm, Medomsley","Bronze age","Mr. J. Morris, Medomsley","216 x 37 x 19 (butt)",,,"Item part of a hoard, the remainder was destroyed."
"NEWMA : 2006.18.24","Spearhead fragment",,Berwick,"Late bronze age","Mr. J. Minns",,,,"Found 2005  using metal detector"
"NEWMA : 1956.236.3a",Spearhead,Bronze,Whittingham,"Bronze age","Lord Ravensworth","486 x 86 x 30 (socket)","Label / AA article",,"Discovered in 1847"
"NEWMA : 1956.236.4a",Spearhead,Bronze,Whittingham,"Bronze age","Lord Ravensworth","378 x 63.5 x 32 (socket)","Label / AA article",,"Discovered in 1847"
"NEWMA : 1956.236.5a",Spearhead,Bronze,Whittingham,"Bronze age","Lord Ravensworth","200 x 33 x 33","Label / AA article",,"Discovered in 1847"
"NEWMA : 1852.101","Spearheads x 3",,Ireland,"Bronze age","Duke of Northumberland",,"Curatorial notes",,
"NEWMA : 1977.9.12",Spearhead,Bronze,Ireland,"Neolithic/Bronze age","Mr. C.C. Spence, Alnmouth (per Miss. R.B. Harbottle)",,"Handwritten notes",,
"NEWMA : 1977.9.13",Spearhead,Bronze,Ireland,"Neolithic/Bronze age","Mr. C.C. Spence, Alnmouth (per Miss. R.B. Harbottle)",,"Handwritten notes",,
"NEWMA : 1967.12","Wallington hoard spearheads x 4",,Wallington,"Late bronze age","Executors of the estate of the late Mary, Lady Trevelyan, Wallington (loaned by)",,"Condition report (C Daniels, 1965) / Orig. news cutting / correspondence / metal analysis report 1966 / packets with drill samples?",,"Found in stream in Middleton Moss, Prior Hill Farm, 14/5/1879"
"TWCMS : H6447","Bronze spearhead",Bronze,"Antrim, Ireland",,,,,,
Knives,,,,,,,,,
"NEWMA : 1852.6",Knife/scraper?,"Stone: hornfels","Shetland Isles",,"Dr. E. Charlton","146 x 86 x13","Article sections (unknown name/author) x 2 / AA ref",,"Resembles oval knife but may be skinning tool- use is uncertain."
"NEWHM : ARPH 0036",Knife,"Stone: flint",Denmark,,,,,,"Collected by J. Taylor."
"NEWHM : ARPH 0029",Knife,"Stone: flint",Denmark,,,,,,
"NEWHM : ARPH 0011","Knife- double edged","Stone: flint",Denmark,,,"115 x 26",,,"Collected by J. Taylor"
"NEWHM : AREGYPT 484",Knife,"Stone: flint",Abydos,"Dated to the first dynasty.","British School of Archaeology (purchased via subscription, 1927)",,,,
"NEWHM : AREGYPT 143.06","Leaf shaped knife","Stone: flint","Moreis Bay, Fayoum",Neolithic,"Mrs. G.M.B. Shaw, 1947.","80 x 40",,,
"NEWHM : AREGYPT 367","Triangular knife",,Fayoum,Neolithic,"H.W. Seton-Karr","L: 55",,,"Excavated by Seton Carr 1903."
"NEWHM : AREGYPT 386","Knives x 3","Stone: flint",Fayum,"Middle Kingdom",,,,,"Excavated by Caton - Thompson in 1926."
"NEWMA : 1921.5",Knife,Copper,"Moralee Farm","Bronze age","Hon. F. Bowes-Lyon, Ridley Hall (on loan from)","82.5 x 28 x 5","NEMS Cons. Report / B&W photos / PSAN ref / label",,"From a burial, found when making a railway siding."
"NEWMA : 1961.11","Socketed knife",Bronze,Stocksfield,"Late bronze age","Mr. J.J. Bulman, Gateshead",,"Notes / Letter from donor",,"Found 1959/60 in crushed gravel at Stocksfield stone quarry but is local."
"NEWMA : 1932.64","Socketed knife",Bronze,Dissington,,"R.C & W.P. Hedley, Cornridge","140 x 30 (blade) 33 (socket) x 13 (socket)","PSAN ref / label",,
"NEWMA : 2006.18.23",Knife,Bronze,Berwick,"Late bronze age","Mr. J. Minns",,,,"Found 2005  using metal detector"
"NEWHM : ARPH 0067",Knife,"Copper alloy",,,,,,,
Celts,,,,,,,,,
"NEWMA : 1972.26.1",Celt,"Stone: flint",Denmark,,"Mrs. W. Percy Hedley","L: 180, W: 70-50","Copy of donation bequest & reply from Hancock Museum",,
"NEWMA : 1972.26.2",Celt,"Stone: flint",Denmark,,"Mrs. W. Percy Hedley","L: 125, W: 60-40","Copy of donation bequest & reply from Hancock Museum",,
"NEWMA : 1972.28","Modern celt",Shell,Barbados,,"Mrs. W. Percy Hedley","L: 95, W: 45-20","Copy of donation bequest & reply from Hancock Museum",,
"NEWMA : 1972.24.4",Celt/axehead,Stone,"Cap du Nord",Neolithic,"Mrs. W. Percy Hedley","L: 115, W: 60","Copy of donation bequest & reply from Hancock Museum",,
"NEWMA : 1972.24.3",Celt,Stone,"Cap du Nord",Neolithic,"Mrs. W. Percy Hedley","L: 125, W: 35","Copy of donation bequest & reply from Hancock Museum",,"Possibly a chisel"
"NEWHM : ARPH 0062","Polished celt",,,,,,,,
Chisels,,,,,,,,,
"NEWHM : ARPH 0038","Celts/ chisels x 3",,Denmark,,,,,,"Collected by J. Taylor"
"NEWHM : HANM.5.2465",Chisel,"Stone: flint",Syria,Neolithic,,,,,
"NEWHM : ARPH 0022",Chisel,"Stone: flint",Denmark,,,,,,"Collected by J. Taylor."
"TWCMS : H6420","Flint chisel","Stone: flint",,,,,,,
"TWCMS : H6421","Flint chisel","Stone: flint",,,,,,,
"Scrapers and blades",,,,,,,,,
"NEWMA : 2006.18.2829","Razors x 2",Bronze,Berwick,"Late bronze age","Mr. J. Minns",,,,"Found 2005  using metal detector"
"NEWMA : 1994.1","Backed blade",,Eltringham,"Late upper palaeolithic","Mr. Harrison, Eltringham Farm","77 x 30 x 12",,,"found field walking by S.M. Cousins.  NGR: NZ 07146232"
"NEWMA : 1890.9",Scraper,"Stone: flint","Lilburn Hill Farm ",,"Dr. James Hardy","Approx. 25.5 diameter",,,
"NEWMA : 1960.42","Blades x 2","Stone: chert","(?) Ireland",,"Mr. B. Upton (Editorial staff, Newcastle Journal) (on loan from) ",,,,"Believed by the lender to be from Ireland."
"NEWMA : 1999.2",Scraper,"Mineral: quartz","Warden Hill",Mesolithic,"Dr. C. Waddington",,,,"Found when fieldwalking.  NGR: NY 911 664"
"NEWMA : 1988.42","Blades x 2","Stone: flint",Swalwell,"Bronze age","Mrs. J.H. Smith",,,,
"NEWMA : 1984.4.A",Blade,"Stone: flint","Harthope Burn","Bronze age","R.F. Miket, TWMS",,,,
"NEWMA : 1987.6",Blade,"Stone: flint",Otterburn,Neolithic?,"R.W. Fairhurst, Otterburn",,,,"Discovered 1978, NGR: 8104"
"NEWMA : 1948.3",Scraper,"Stone: flint","Rothbury District",,"Unknown, per NHSN, Hancock Museum","38 x 28.5 x 9.5",,,
"NEWMA : 1977.9.16","Scrapers? x 2","Stone: flint",Ireland,"Neolithic/Bronze age","Mr. C.C. Spence, Alnmouth (per Miss. R.B. Harbottle)",,,,
"NEWMA : 1977.9.4","Scrapers? X 2","Stone: flint",Ireland,"Neolithic/Bronze age","Mr. C.C. Spence, Alnmouth (per Miss. R.B. Harbottle)",,,,
"NEWMA : 1956.104.A","Scrapers? X 5",,Denmark,,,,,,
"NEWMA : 1972.7.3",Axe/scraper,"Stone: flint","Mildenhall, Suffolk",Palaeolithic,"Mrs. W. Percy Hedley","L: 100, W: 65",,,"Broken and glued together at unknown date"
"NEWMA : 1972.7.5",Axe/scraper,"Stone: flint","Mildenhall, Suffolk",Palaeolithic,"Mrs. W. Percy Hedley","L:100, W: 65",,,
"NEWMA : 1972.7.7","Side scraper",,"Mildenhall, Suffolk",Palaeolithic,"Mrs. W. Percy Hedley","L:120, W: 60",,,
"NEWHM : ARPH  0034","Scraper or knife","Stone: flint",Denmark,,,,,,"Collected by J. Taylor"
"NEWHM : ARPH 0035","Scrapers x 3","Stone: flint",Denmark,,,,,,"Collected by J. Taylor"
"NEWHM : ARPH 0003",Scraper,"Stone: flint","Grime's Graves, Norfolk",,"H. Preston","75 x 40",,,"Shows two kinds of patination, staining and iron spotting.  Collected by H. Preston."
"NEWHM : ARPH 0008",Scraper,"Stone: flint","Great Melton, Norfolk",,,"42 x 17",,,
"NEWHM : AREGYPT 142.01","Flat ended scrapers x 2","Stone: flint",Egypt,"1st Dynasty reign of Zet. 2920 BC",,"90 x 50",,,"Found in the Tombs of the Courtiers.  "
"NEWHM : AREGYPT 143.07","Sickle blade",,"Moreis Bay, Fayoum","Neolithic. ","Mrs. G.M.B. Shaw, 1947.","52 x 25",,,"Collected by Dr. AJB Shaw"
"NEWHM : AREGYPT 132.02","Sickle blade",,"Qasr-el-Sagha, Fayoum","Neolithic. ","Mrs. G.M.B. Shaw, 1947.","70 x 16",,,"Marked ""11"""
"TWCMS : H6501","Jade adze blade",,,,,,,,
"TWCMS : H6424","Flint blade","Stone: flint",,,,,,,
"TWCMS : H6427","Flint blade","Stone: flint",,,,,,,
"TWCMS : H6433","Flint blade/sickle","Stone: flint",,,,,,,
"TWCMS : H6430","Flint blade","Stone: flint",,,,,,,
"TWCMS : H6429","Flint blade","Stone: flint",,,,,,,
"TWCMS : H6426","Flint blade","Stone: flint",,,,,,,
"TWCMS : H6431","Flint blade","Stone: flint",,,,,,,
